"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Sebastián Driussi","ATX","2022","AM","3175","97","39","22","14.39","1.79","7.61","31","5","3.75","1.25","18.14","10.99","8.67"
"","Chicharito","LAG","2022","ST","2811","88","38","18","15.88","-0.76","2.12","26","2","2.17","-0.17","18.05","8.16","10.60"
"","Hany Mukhtar","NSH","2021","ST","2670","94","43","16","11.81","1.67","4.19","66","10","5.78","4.22","17.60","9.83","7.83"
"","Cristian Espinoza","SJE","2023","W","3268","61","30","12","8.06","1.71","3.94","94","8","9.48","-1.48","17.55","7.01","4.69"
"","Carles Gil","NER","2021","AM","2490","52","19","4","5.05","0.56","-1.05","128","12","12.43","-0.43","17.48","1.68","2.79"
"","Daniel Gazdag","PHI","2023","AM","2967","64","29","14","13.38","0.66","0.62","42","6","4.11","1.89","17.48","6.39","6.79"
"","Diego Rubio","COL","2022","AM","2670","93","39","16","12.17","-0.94","3.83","46","5","5.11","-0.11","17.29","10.64","9.00"
"","Taty Castellanos","NYC","2022","ST","1653","81","33","13","13.66","-1.17","-0.66","31","2","3.38","-1.38","17.04","4.44","6.51"
"","Carlos Vela","LAFC","2022","W","2528","61","26","12","9.59","0.74","2.41","74","9","7.38","1.62","16.97","5.23","4.89"
"","Bongokuhle Hlongwane","MIN","2023","W","2688","85","36","8","13.18","-3.94","-5.18","29","3","3.56","-0.56","16.73","2.78","8.40"
"","Dániel Sallói","SKC","2021","W","2682","86","38","16","11.41","0.20","4.59","39","7","5.24","1.76","16.65","7.18","6.95"
"","Julián Carranza","PHI","2022","ST","2379","90","36","14","14.27","-0.03","-0.27","15","5","2.18","2.82","16.45","2.98","4.82"
"","Raúl Ruidíaz","SEA","2021","ST","2362","91","38","17","15.04","0.03","1.96","16","0","1.23","-1.23","16.27","5.45","7.43"
"","Damir Kreilach","RSL","2021","ST","3138","74","39","16","10.35","5.25","5.65","42","8","5.92","2.08","16.27","10.51","6.97"
"","Jesús Ferreira","FCD","2022","ST","2913","82","43","18","11.12","2.30","6.88","50","6","5.08","0.92","16.20","7.73","5.72"
"","Carles Gil","NER","2023","AM","2789","72","29","11","7.21","3.39","3.79","91","7","8.70","-1.70","15.91","7.82","4.06"
"","Brenner","CIN","2022","ST","2236","77","34","18","12.87","-0.99","5.13","25","6","2.95","3.05","15.82","8.53","6.38"
"","Cristian Espinoza","SJE","2022","W","3054","73","25","7","7.69","-0.51","-0.69","77","9","7.97","1.03","15.65","3.29","4.06"
"","Chicharito","LAG","2021","ST","1882","59","32","17","12.87","2.05","4.13","19","2","2.66","-0.66","15.53","11.76","8.78"
"","Maximiliano Morález","NYC","2021","AM","2616","64","23","3","5.64","-1.23","-2.64","81","11","9.69","1.31","15.34","0.54","2.63"
"","Emanuel Reynoso","MIN","2022","AM","2718","77","28","10","8.61","1.20","1.39","72","5","6.54","-1.54","15.16","4.47","5.03"
"","Patryk Klimala","NYRB","2021","ST","2267","96","29","8","12.62","-5.50","-4.62","23","6","2.51","3.49","15.12","5.29","9.55"
"","Gyasi Zardes","CLB, COL","2022","ST","2499","53","19","10","12.47","-1.57","-2.47","32","1","2.61","-1.61","15.07","5.14","8.71"
"","Gonzalo Higuaín","MIA","2021","ST","2668","82","35","12","11.21","1.62","0.79","35","7","3.72","3.28","14.93","6.66","6.58"
"","Carlos Vela","LAFC","2023","ST","2186","59","24","9","10.07","-0.59","-1.07","64","7","4.69","2.31","14.76","3.27","5.49"
"","Johnny Russell","SKC","2021","W","2446","69","33","15","9.28","2.08","5.72","39","6","5.48","0.52","14.76","6.28","5.48"
"","Albert Rusnák","RSL","2021","W","3315","65","32","11","7.79","2.40","3.21","86","7","6.82","0.18","14.62","5.49","4.47"
"","Djordje Mihailovic","MTL","2021","AM","3054","59","15","4","5.28","-1.26","-1.28","75","14","9.31","4.69","14.59","1.99","3.09"
"","Julián Carranza","PHI","2023","ST","2667","80","31","13","10.92","-1.50","2.08","24","5","3.53","1.47","14.45","5.13","6.44"
"","Talles Magno","NYC","2022","W","2886","65","24","7","9.49","0.94","-2.49","39","8","4.95","3.05","14.44","3.33","4.70"
"","Facundo Torres","ORL","2023","W","2609","65","26","14","10.29","1.07","3.71","48","3","4.11","-1.11","14.41","4.58","5.10"
"","Lewis Morgan","NYRB","2022","W","2915","85","32","14","10.18","1.19","3.82","38","3","4.17","-1.17","14.35","6.34","6.14"
"","Santiago Rodríguez","NYC","2022","AM","2730","50","18","4","6.22","-1.50","-2.22","69","10","8.04","1.96","14.26","0.94","3.16"
"","Cristian Arango","LAFC","2021","ST","1544","63","32","14","11.23","-0.34","2.77","20","1","3.01","-2.01","14.24","6.15","7.13"
"","Jesús Ferreira","FCD","2023","ST","2404","58","22","12","9.93","-0.58","2.07","52","3","4.28","-1.28","14.21","5.61","6.71"
"","Marcelino Moreno","ATL","2021","CM","2799","79","30","9","8.35","0.85","0.65","65","4","5.73","-1.73","14.08","4.32","5.70"
"","Thiago Almada","ATL","2022","AM","2622","77","24","6","5.97","1.32","0.03","80","7","8.01","-1.01","13.99","3.44","4.02"
"","C.J. Sapong","NSH","2021","ST","2349","66","34","12","10.34","1.58","1.66","35","4","3.64","0.36","13.98","6.48","6.71"
"","Sebastián Driussi","ATX","2023","AM","2460","76","31","11","10.39","0.69","0.61","19","4","3.51","0.49","13.89","6.68","6.15"
"","Karol Swiderski","CLT","2023","ST","2584","78","26","12","10.48","-0.60","1.52","26","4","3.39","0.61","13.87","5.42","5.41"
